id,NumDots,PathLevel,NumDash,NumNumericChars,PctExtHyperlinks,PctExtResourceUrls,InsecureForms,PctNullSelfRedirectHyperlinks,FrequentDomainNameMismatch,SubmitInfoToEmail,ExtMetaScriptLinkRT,PctExtNullSelfRedirectHyperlinksRT
9255,2,2,0,4,0.1481481481,0.1363636364,1,0.1851851852,0,0,1,0
1562,3,3,0,3,0.0,1.0,1,0.0,1,0,-1,1
1671,3,4,0,6,0.0,0.2,1,1.0,0,0,0,-1
6088,3,2,12,14,0.0347222222,0.0614035088,1,0.0277777778,0,1,1,1
6670,1,4,6,6,0.1276595745,0.0677966102,0,0.0,0,0,0,1
5934,3,4,2,14,0.0779220779,0.125,1,0.0,0,0,1,1
8830,1,5,1,1,0.4426229508,0.8070175439,1,0.0737704918,0,0,0,0
7946,2,3,0,0,0.6,0.1333333333,0,0.0,0,0,1,0
3509,2,2,0,0,0.0,0.0,1,0.0,0,0,1,1
2003,2,3,0,0,0.0,0.0,1,0.0,1,0,1,1
5867,3,2,3,1,0.0,0.0769230769,0,0.0,0,0,0,1
169,4,3,0,0,0.0,0.0,1,0.0,0,0,1,1
2589,5,3,0,5,0.8181818182,0.1538461538,1,0.0909090909,0,0,0,-1
5906,3,3,2,4,0.1156069364,1.0,1,0.0115606936,0,0,-1,1
9530,3,3,0,3,0.0051813472,0.0952380952,1,0.0207253886,0,0,0,1
6385,1,2,2,6,0.2556053812,0.7704918033,1,0.0,0,0,-1,1
7825,3,6,0,10,0.0143149284,0.0446428571,1,0.0102249489,0,1,1,1
9780,3,2,0,0,0.3333333333,0.3043478261,0,0.0877192982,0,1,0,0
4630,2,2,0,2,0.0,0.0,1,0.0,0,0,1,1
8561,2,0,0,0,0.0,0.25,0,0.0,0,1,0,1
9292,2,3,3,6,0.1446540881,1.0,1,0.0566037736,0,0,-1,1
6875,6,3,1,27,0.1666666667,0.0,1,0.0,0,0,1,1
6522,1,4,23,26,0.1616766467,0.988372093,1,0.0,0,0,-1,1
8980,1,3,3,7,0.2748091603,0.9523809524,1,0.0,0,1,-1,1
6648,2,1,0,0,0.0080428954,0.2,1,0.0,0,0,1,1
9826,4,2,0,4,0.1014492754,0.0,0,0.0,0,0,1,1
211,1,3,0,0,1.0,0.1052631579,1,0.0,0,0,1,-1
5279,1,4,3,7,0.0853658537,0.7105263158,1,0.0203252033,0,0,0,1
1920,2,2,0,0,0.0,0.7857142857,1,1.0,1,0,1,-1
719,3,3,0,4,0.9428571429,0.9666666667,1,0.0571428571,1,0,-1,-1
4869,9,3,0,6,0.0,0.0,1,0.0,0,0,1,1
7835,3,2,1,4,0.2173913043,0.0,1,0.0,0,0,1,1
1299,2,5,0,0,0.9769585253,1.0,1,0.0,1,0,-1,-1
9194,3,3,0,0,0.2857142857,0.8181818182,1,0.0,0,0,0,1
4618,2,2,0,0,0.0,0.0,1,0.0,0,0,1,1
3129,2,5,1,18,0.0,0.7857142857,1,1.0,1,0,1,-1
9796,2,4,1,6,0.0403225806,0.8571428571,1,0.0241935484,0,0,0,1
3980,3,4,0,0,0.0,0.0740740741,1,0.0,0,0,1,1
9925,2,4,0,6,0.021978022,0.9,0,0.0,0,0,-1,1
8318,2,1,3,0,0.0,0.0540540541,0,0.0892857143,0,0,0,1
4394,3,2,1,0,0.0,0.0,1,1.0,0,0,1,-1
1288,2,1,1,2,1.0,1.0,1,0.0,1,0,-1,-1
4356,6,6,0,0,0.0,0.8,1,0.0,1,0,-1,1
7014,3,1,0,8,0.0612244898,0.1860465116,1,0.0,0,0,0,1
3886,2,2,0,0,0.0,0.0,1,0.0,0,0,1,1
5750,2,2,0,9,1.0,1.0,0,0.0,1,0,-1,-1
9170,4,2,0,4,0.0185873606,0.0,1,0.0,0,0,1,1
2408,4,4,0,3,0.7857142857,1.0,1,0.2142857143,1,0,-1,-1
2014,3,3,0,0,0.0,0.0,1,0.0,1,0,1,1
5154,2,3,10,4,0.1339285714,1.0,1,0.0625,0,0,-1,1
8552,4,3,0,6,0.0344827586,0.0,0,0.0,0,0,1,1
4377,3,2,0,0,0.0,0.0,0,0.0,1,0,1,1
8823,1,1,0,0,0.0862068966,0.3095238095,0,0.0,0,0,0,1
4274,3,4,1,3,1.0,1.0,1,0.0,1,0,-1,-1
5826,1,4,1,0,0.0618556701,0.5,0,0.0,0,0,0,1
6700,1,2,4,3,0.0740740741,0.6470588235,1,0.1296296296,0,0,0,1
7244,1,3,0,8,0.08125,0.2142857143,1,0.0125,0,1,0,1
450,1,11,1,39,0.6470588235,0.9032258065,1,0.3529411765,1,0,-1,-1
2228,3,4,1,0,0.9230769231,1.0,1,0.0,1,0,-1,-1
5757,2,1,0,0,0.0099009901,0.0857142857,0,0.0,0,0,1,1
811,3,5,0,0,0.9230769231,1.0,1,0.0,1,0,-1,-1
4181,3,2,1,3,0.0,0.0,1,0.0,0,0,1,1
9001,2,3,1,6,0.1428571429,0.0873015873,0,0.0102040816,0,0,0,1
5439,2,14,0,13,0.2673267327,0.0471698113,0,0.0,0,1,1,1
7534,2,5,17,8,0.3956834532,0.9074074074,1,0.035971223,0,0,0,0
6370,1,2,6,0,0.2262773723,0.7692307692,0,0.0218978102,0,1,0,1
8417,3,3,0,0,0.05,0.0703125,1,0.0125,0,0,0,1
1478,5,4,2,0,1.0,1.0,1,0.0,1,0,-1,-1
1791,2,2,1,0,1.0,1.0,1,0.0,1,0,-1,-1
2009,3,3,0,0,0.0,0.0,1,1.0,0,0,1,-1
683,2,2,0,0,0.9230769231,1.0,1,0.0,1,0,-1,-1
2817,3,1,1,0,0.72,0.1,1,0.0,1,0,1,-1
9432,2,2,2,5,0.0352112676,0.18,0,0.0633802817,0,0,0,1
3775,3,4,5,18,0.0555555556,0.0909090909,1,0.9444444444,0,0,1,-1
6496,1,5,6,12,0.4850299401,0.5189873418,1,0.0119760479,0,1,0,0
8879,2,3,2,2,0.3173652695,0.695035461,1,0.0119760479,0,0,0,0
7362,2,8,7,20,0.1346153846,0.4637681159,1,0.0865384615,0,1,0,1
8367,2,3,1,0,0.0482758621,0.4285714286,1,0.0068965517,0,0,0,1
7475,1,3,9,2,0.4166666667,0.4430379747,1,0.0454545455,0,0,0,0
47,4,3,0,0,0.0,0.0,1,0.0,0,0,1,1
31,2,3,0,17,0.0,0.0,1,1.0,0,0,1,-1
8251,1,5,6,9,0.1073170732,1.0,1,0.0341463415,0,0,0,1
6936,4,3,1,6,0.1454545455,0.4090909091,1,0.0,0,0,0,1
1469,2,5,1,1,1.0,1.0,1,0.0,1,0,1,-1
1666,1,6,0,3,0.0666666667,0.0769230769,1,0.8666666667,0,0,1,-1
1417,2,9,0,29,1.0,0.0,1,0.0,1,0,1,-1
6481,3,5,15,8,0.1868852459,0.7848101266,1,0.1770491803,0,0,0,0
4853,2,2,0,1,0.0,1.0,1,0.0,1,0,-1,1
2471,3,2,1,0,1.0,0.1428571429,1,0.0,0,0,0,-1
4374,5,2,0,0,1.0,0.1333333333,1,0.0,0,1,0,-1
8525,1,3,0,5,0.0606060606,0.4230769231,1,0.0606060606,0,0,0,1
430,1,3,0,4,0.0,0.0,1,0.0,0,0,1,1
5245,2,5,1,7,0.0644067797,0.3076923077,0,0.0,0,0,0,1
2120,3,4,0,0,1.0,1.0,1,0.0,1,0,-1,-1
386,2,4,0,12,0.0,0.0,1,1.0,0,0,1,-1
1946,2,4,1,0,0.9230769231,1.0,1,0.0,1,0,-1,-1
4225,3,4,0,4,0.0,0.0,1,1.0,0,0,1,-1
474,3,2,0,0,1.0,1.0,1,0.0,1,0,-1,-1
2130,2,5,0,71,0.0,0.0,1,0.0,0,0,1,1
6557,2,3,6,7,0.0496183206,0.3392857143,1,0.0229007634,0,0,0,1
6999,3,3,0,8,0.0698924731,0.0487804878,1,0.0,0,0,0,1
1056,1,6,0,20,0.0,0.1,1,0.0,0,0,1,1
3275,3,7,2,23,0.9111111111,0.6666666667,1,0.0888888889,1,0,0,-1
4962,2,3,0,0,0.0,0.0,1,1.0,0,0,1,-1
5364,2,6,9,8,0.1724137931,0.1818181818,1,0.0517241379,0,0,0,1
5817,2,6,11,0,0.0410447761,0.2631578947,1,0.0037313433,0,0,0,1
812,1,4,1,24,0.0,0.0,1,0.0,0,0,1,1
4574,2,3,1,0,0.0,0.0,1,0.0,0,0,1,1
6138,3,2,8,7,0.1370967742,0.4166666667,0,0.0967741935,0,1,0,1
2389,2,7,1,31,0.0,0.3333333333,1,0.0,0,0,0,1
