id,NumDots,SubdomainLevel,PathLevel,UrlLength,NumDash,NumDashInHostname,AtSymbol,TildeSymbol,NumUnderscore,NumPercent,NumQueryComponents,NumAmpersand,NumHash,NumNumericChars,NoHttps,RandomString,IpAddress,DomainInSubdomains,DomainInPaths,HostnameLength,PathLength,QueryLength,DoubleSlashInPath,CLASS_LABEL,SpecialChars,SpecialCharRatio,PctNumerics,SCHostRatio,HostnameRatio,SuspiciousElements,AvgPathLength,QueryRatio,log_UrlLength,log_PathLength,log_Querylength
1,3,1,5,72,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,21,44,0,0,1,3,0.041666666666666664,0.0,0.047619047619047616,0.2916666666666667,1,8.8,0.0,4.290459441148391,3.8066624897703196,0.0
2,3,1,3,144,0,0,0,0,2,0,2,1,0,41,1,0,0,0,0,17,16,103,0,1,5,0.034722222222222224,0.2847222222222222,0.058823529411764705,0.11805555555555555,1,5.333333333333333,0.019417475728155338,4.976733742420574,2.833213344056216,4.6443908991413725
3,3,1,2,58,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,27,24,0,0,1,3,0.05172413793103448,0.0,0.037037037037037035,0.46551724137931033,1,12.0,0.0,4.07753744390572,3.2188758248682006,0.0
4,3,1,6,79,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,22,50,0,0,1,4,0.05063291139240506,0.0,0.045454545454545456,0.27848101265822783,2,8.333333333333334,0.0,4.382026634673881,3.9318256327243257,0.0
5,3,0,4,46,0,0,0,0,0,0,0,0,0,2,1,1,0,0,1,10,29,0,0,1,3,0.06521739130434782,0.043478260869565216,0.0,0.21739130434782608,2,7.25,0.0,3.8501476017100584,3.4011973816621555,0.0
6,3,1,1,42,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,23,12,0,0,1,4,0.09523809523809523,0.0,0.043478260869565216,0.5476190476190477,2,12.0,0.0,3.7612001156935624,2.5649493574615367,0.0
7,2,0,5,60,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,17,36,0,0,1,2,0.03333333333333333,0.016666666666666666,0.0,0.2833333333333333,2,7.2,0.0,4.110873864173311,3.6109179126442243,0.0
8,1,0,3,30,0,0,0,0,0,0,0,0,0,3,1,1,0,0,1,12,11,0,0,1,1,0.03333333333333333,0.1,0.0,0.4,2,3.6666666666666665,0.0,3.4339872044851463,2.4849066497880004,0.0
9,8,7,2,76,1,1,0,0,0,0,0,0,0,2,1,1,0,1,1,65,4,0,0,1,9,0.11842105263157894,0.02631578947368421,0.12307692307692308,0.8552631578947368,3,2.0,0.0,4.343805421853684,1.6094379124341003,0.0
10,2,0,2,46,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,14,25,0,0,1,2,0.043478260869565216,0.0,0.0,0.30434782608695654,2,12.5,0.0,3.8501476017100584,3.258096538021482,0.0
