id,NumDash,NumDots,NumDashInHostname,UrlLength,NumQueryComponents,IpAddress,DomainInSubdomains,DomainInPaths,HostnameLength,PathLevel
9255,0,2,0,41,0,0,0,0,24,2
1562,0,3,0,40,0,0,0,1,13,3
1671,0,3,0,53,0,0,0,0,17,4
6088,12,3,0,89,0,0,0,1,16,2
6670,6,1,0,101,1,0,0,1,11,4
5934,2,3,0,118,6,0,0,0,23,4
8830,1,1,0,56,0,0,0,1,16,5
7946,0,2,0,63,0,0,0,0,23,3
3509,0,2,0,33,0,0,0,0,18,2
2003,0,2,0,44,0,0,0,0,15,3
5867,3,3,0,109,2,0,0,0,22,2
169,0,4,0,55,0,0,0,1,31,3
2589,0,5,0,50,0,0,0,1,15,3
5906,2,3,0,70,0,0,0,0,31,3
9530,0,3,0,44,0,0,0,1,16,3
6385,2,1,0,75,3,0,0,1,18,2
7825,0,3,0,64,0,0,0,1,18,6
9780,0,3,0,32,0,0,0,0,10,2
4630,0,2,0,47,0,0,0,0,22,2
8561,0,2,0,32,0,0,0,0,24,0
9292,3,2,0,55,0,0,0,1,17,3
6875,1,6,0,175,3,0,0,1,10,3
6522,23,1,0,218,1,0,0,1,13,4
8980,3,1,0,55,0,0,0,1,6,3
6648,0,2,0,68,2,0,0,0,11,1
9826,0,4,0,54,0,0,0,0,14,2
211,0,1,0,38,0,0,0,1,21,3
5279,3,1,0,63,0,0,0,0,26,4
1920,0,2,0,34,0,0,0,0,17,2
719,0,3,0,63,0,0,0,1,19,3
4869,0,9,0,90,0,0,0,1,11,3
7835,1,3,0,197,7,0,0,0,18,2
1299,0,2,0,50,0,0,0,0,18,5
9194,0,3,0,54,0,0,0,0,17,3
4618,0,2,0,56,0,0,0,0,25,2
3129,1,2,0,93,0,0,0,0,29,5
9796,1,2,0,59,0,0,0,0,14,4
3980,0,3,0,56,0,0,0,0,14,4
9925,0,2,0,58,1,0,0,1,19,4
8318,3,2,0,54,0,0,0,1,16,1
4394,1,3,0,48,0,0,0,0,17,2
1288,1,2,1,39,0,0,0,0,18,1
4356,0,6,0,84,0,0,0,1,32,6
7014,0,3,0,74,3,0,0,0,27,1
3886,0,2,0,38,0,0,0,0,8,2
5750,0,2,0,71,2,0,0,1,10,2
9170,0,4,0,50,1,0,0,0,18,2
2408,0,4,0,62,0,0,0,1,14,4
2014,0,3,0,46,0,0,0,0,17,3
5154,10,2,0,94,0,0,0,1,13,3
8552,0,4,0,57,0,0,0,0,16,3
4377,0,3,0,35,0,0,0,0,16,2
8823,0,1,0,28,0,0,0,0,12,1
4274,1,3,1,60,0,0,0,1,24,4
5826,1,1,0,63,0,0,0,0,18,4
6700,4,1,1,65,0,0,0,1,21,2
7244,0,1,0,70,0,0,0,1,10,3
450,1,1,0,170,0,0,0,1,26,11
2228,1,3,0,63,0,0,0,1,17,4
5757,0,2,0,66,2,0,0,0,15,1
811,0,3,0,63,0,0,0,0,12,5
4181,1,3,1,55,0,0,0,0,29,2
9001,1,2,1,38,0,0,0,1,9,3
5439,0,2,0,123,0,0,0,1,21,14
7534,17,2,0,170,0,0,0,1,26,5
6370,6,1,0,72,0,0,0,1,8,2
8417,0,3,0,44,0,0,0,1,17,3
1478,2,5,1,72,0,0,0,1,29,4
1791,1,2,0,47,0,0,0,0,19,2
2009,0,3,0,47,0,0,0,0,17,3
683,0,2,0,52,0,0,0,0,25,2
2817,1,3,1,48,0,0,0,0,29,1
9432,2,2,0,52,0,0,0,0,15,2
3775,5,3,4,109,0,0,1,1,57,4
6496,6,1,0,70,0,0,0,1,10,5
8879,2,2,0,52,0,0,0,0,15,3
7362,7,2,1,127,0,0,0,0,28,8
8367,1,2,0,48,0,0,0,0,22,3
7475,9,1,0,95,0,0,0,1,13,3
47,0,4,0,55,0,0,0,0,16,3
31,0,2,0,80,0,0,0,1,32,3
8251,6,1,0,85,0,0,0,0,24,5
6936,1,4,0,62,0,0,0,1,17,3
1469,1,2,0,48,0,0,0,0,12,5
1666,0,1,0,57,0,0,0,0,17,6
1417,0,2,0,91,0,0,0,0,13,9
6481,15,3,0,146,0,0,1,1,30,5
4853,0,2,0,32,0,0,0,0,12,2
2471,1,3,1,35,0,0,0,0,13,2
4374,0,5,0,100,1,0,0,1,17,2
8525,0,1,0,29,0,0,0,0,9,3
430,0,1,0,34,0,0,0,0,10,3
5245,1,2,0,89,1,0,0,0,22,5
2120,0,3,0,65,0,0,0,0,15,4
386,0,2,0,57,0,0,0,0,15,4
1946,1,2,0,53,0,0,0,1,17,4
4225,0,3,0,66,0,0,0,0,35,4
474,0,3,0,39,0,0,0,0,15,2
2130,0,2,0,190,5,0,0,0,15,5
6557,6,2,0,92,0,0,0,1,17,3
6999,0,3,0,73,2,0,0,1,18,3
1056,0,1,0,88,0,0,0,1,22,6
3275,2,3,0,104,0,0,0,0,15,7
4962,0,2,0,30,0,0,0,0,14,3
5364,9,2,0,129,0,0,0,1,13,6
5817,11,2,0,136,0,0,0,1,20,6
812,1,1,0,79,0,0,0,0,13,4
4574,1,2,1,50,0,0,0,1,12,3
6138,8,3,0,94,0,0,0,1,25,2
2389,1,2,1,225,3,0,0,1,26,7
9649,3,2,0,57,0,0,0,1,12,3
6226,9,1,0,94,0,0,0,1,18,6
112,0,1,0,52,0,0,0,0,9,2
8910,1,1,0,47,0,0,0,0,21,3
1746,1,1,0,48,0,0,0,1,11,6
7852,5,2,0,75,0,0,0,1,16,2
1453,0,2,0,37,0,0,0,0,17,3
320,0,3,0,44,0,0,0,0,27,2
8594,0,1,0,53,1,0,0,0,26,1
3334,0,4,0,64,0,0,0,0,32,2
1923,1,3,1,51,0,0,0,0,21,4
5866,7,3,0,73,0,0,0,1,18,1
9529,0,4,0,43,0,0,0,0,15,1
3686,0,2,0,44,0,0,0,0,25,3
4276,1,2,1,84,0,0,0,1,9,10
4890,0,3,0,38,0,0,0,0,10,3
5226,12,1,0,156,2,0,0,1,15,5
7473,7,1,0,77,0,0,0,1,15,5
3606,1,2,0,59,0,0,0,1,28,4
1053,0,5,0,41,0,0,0,1,12,2
4157,1,3,0,59,0,0,0,0,12,5
9677,0,2,0,42,0,0,0,1,22,3
100,0,3,0,49,0,0,0,0,28,2
7509,0,2,0,62,0,0,0,0,17,4
1457,0,4,0,40,0,0,0,0,21,2
7689,1,2,0,104,2,0,0,0,15,1
4005,0,5,0,116,1,0,0,1,16,6
6867,5,2,0,85,0,0,0,0,35,5
4510,2,3,0,131,0,0,0,1,20,3
3300,0,2,0,109,0,0,0,1,16,6
3800,5,3,4,109,0,0,1,1,57,4
4282,0,2,0,46,0,0,0,0,15,3
9052,6,1,0,53,0,0,0,0,5,2
6463,17,1,0,127,0,0,0,1,12,5
7913,4,2,0,76,0,0,0,1,18,5
1415,0,3,0,42,0,0,0,0,25,1
541,1,1,0,79,0,0,0,0,13,4
5816,4,2,0,60,0,0,0,1,19,3
8200,6,1,0,108,0,0,0,1,20,5
3681,4,6,4,136,0,0,1,1,55,7
755,0,1,0,47,0,0,0,1,17,5
4197,1,5,0,103,0,0,0,1,18,6
2651,0,3,0,105,0,0,0,0,15,7
4523,0,3,0,56,0,0,0,1,26,3
9520,0,2,0,29,0,0,0,0,21,0
3119,0,2,0,82,0,0,0,0,22,3
3729,0,3,0,70,0,0,0,1,15,3
3887,0,2,0,42,0,0,0,0,12,3
7108,7,1,0,73,0,0,0,1,18,3
8069,5,3,0,85,0,0,0,1,13,4
7326,0,2,0,70,1,0,0,0,15,3
8484,1,1,0,53,0,0,0,0,24,2
8768,0,2,0,37,0,0,0,0,25,2
6501,4,1,0,69,0,0,0,1,18,3
8427,0,1,0,27,0,0,0,0,19,0
7964,0,2,0,77,4,0,0,1,15,1
602,2,4,0,100,0,1,0,0,13,4
9250,0,2,0,57,1,0,0,0,23,3
8920,0,2,0,46,0,0,0,0,24,2
6815,3,3,0,80,0,0,0,0,23,3
5412,3,1,0,72,0,0,0,0,16,4
8748,0,1,0,35,0,0,0,0,16,4
5523,7,2,0,85,0,0,0,1,11,3
1045,0,1,0,43,0,0,0,0,6,3
7335,3,2,0,85,2,0,0,1,28,2
1558,1,2,0,64,0,0,0,1,22,4
3740,0,2,0,38,0,0,0,0,17,3
3523,1,2,0,54,0,0,0,0,21,3
181,0,1,0,37,0,0,0,0,16,3
2116,1,2,0,47,0,0,0,0,16,3
1700,0,3,0,39,0,0,0,0,20,2
1380,0,3,0,47,0,0,0,1,13,3
7230,2,1,0,71,0,0,0,0,16,5
9144,0,1,0,41,0,0,0,0,15,2
619,0,3,0,80,0,0,0,0,23,6
3182,1,2,1,68,0,0,0,1,21,3
9852,0,3,0,50,1,0,0,0,11,2
1601,0,1,0,43,0,0,0,0,17,2
5964,4,2,0,111,0,0,0,1,27,2
1616,0,3,0,49,0,0,0,0,18,2
5921,6,3,1,100,0,0,0,1,23,4
9592,1,3,0,40,0,0,0,0,13,1
3892,1,3,0,69,0,0,0,0,20,5
2084,2,5,1,73,0,0,0,1,24,5
4575,1,4,0,71,0,0,0,1,14,4
5595,0,3,0,81,0,0,0,1,19,8
5122,10,1,0,75,0,0,0,1,15,2
4588,1,3,0,67,0,0,0,1,17,5
4903,0,2,0,75,0,0,0,1,13,5
8253,10,1,0,94,0,0,0,1,17,4
5917,2,2,0,60,0,0,0,0,29,2
5130,4,3,0,62,0,0,0,0,16,1
8335,0,2,0,32,0,0,0,0,8,1
1919,1,7,1,128,2,0,0,1,15,4
8331,2,2,1,42,0,0,0,0,17,2
5708,13,3,0,147,1,0,0,0,22,5
5385,7,3,0,106,0,0,0,1,32,3
6337,1,2,0,180,5,0,0,0,12,0
2055,0,2,0,41,0,0,0,0,10,3
7613,0,3,0,94,0,0,0,0,16,5
9210,1,2,0,40,0,0,0,1,17,3
3964,0,1,0,29,0,0,0,0,12,3
1127,0,2,0,47,1,0,0,0,9,2
3429,0,3,0,45,0,0,0,0,23,4
4602,0,2,0,57,0,0,0,0,16,5
3722,5,3,4,109,0,0,1,1,57,4
2390,0,2,0,48,0,0,0,0,21,3
1323,0,2,0,59,0,0,0,0,12,4
1604,1,1,0,50,0,0,0,0,19,4
7225,1,2,0,75,1,0,0,1,22,4
7426,13,1,0,95,0,0,0,1,13,1
4337,0,6,0,54,0,0,0,1,18,3
5594,0,2,0,85,0,0,0,1,26,8
4412,1,2,1,71,0,0,0,1,13,5
5859,10,2,0,86,0,0,0,1,20,2
9344,1,3,1,46,0,0,0,0,17,3
3992,2,2,0,183,2,0,0,0,24,4
6080,0,4,0,63,2,0,0,0,16,1
1560,0,2,0,33,0,0,0,0,11,3
4683,0,3,0,55,0,0,0,0,18,4
7558,4,3,0,70,0,0,0,0,20,4
3773,0,2,0,36,0,0,0,0,14,4
8780,2,4,0,57,0,0,0,0,16,4
3458,0,5,0,73,0,0,0,1,32,3
8384,0,1,0,33,0,0,0,1,12,2
1355,1,3,0,49,0,0,0,1,20,2
46,0,3,0,47,0,0,0,1,19,2
9873,1,2,1,48,1,0,0,0,29,0
749,2,1,2,82,0,0,0,0,24,4
7918,11,3,1,118,0,0,0,0,26,2
4242,0,3,0,58,0,0,0,0,17,3
5629,2,3,0,134,0,0,0,1,13,14
4658,1,4,0,64,0,0,0,1,17,3
4239,1,3,1,115,0,0,0,0,14,7
3461,0,3,0,45,0,0,0,0,16,2
7382,0,4,0,144,7,0,1,0,29,2
5550,0,3,0,103,0,0,0,0,25,2
7076,14,1,2,99,0,0,0,1,17,4
5839,0,3,0,61,2,0,0,0,21,1
8092,0,2,0,62,3,0,0,1,14,2
5475,0,2,0,78,4,0,0,1,12,1
3615,0,3,0,56,0,0,0,0,32,3
7502,3,1,0,60,0,0,0,1,21,3
7054,11,1,0,107,0,0,0,1,13,3
7368,0,1,0,116,3,0,0,0,21,3
8020,8,1,0,89,0,0,0,0,12,2
9639,0,2,0,35,0,0,0,0,27,0
9056,0,1,0,26,0,0,0,0,18,0
665,0,2,0,45,0,0,0,1,17,3
2320,0,4,0,54,0,0,0,0,22,2
3543,0,2,0,51,0,0,0,0,21,5
3678,0,4,0,90,0,0,0,1,20,5
9600,3,3,0,56,0,0,0,1,19,1
3092,0,2,0,53,0,0,0,0,22,3
676,0,3,0,64,0,0,0,1,16,6
8677,4,1,0,48,0,0,0,0,8,2
4885,0,3,0,92,1,0,0,0,26,3
8080,5,2,0,79,0,0,0,0,15,4
